Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
WZ_Feuerstaette;Kaminofen oder offenes Feuer im Raum?;Raum;;;Wohnzimmer;;;Einzelauswahl;"nein;Kaminofen (geschlossen);offener Kamin;Pelletofen;Gaskamin;weiß nicht";;-;immer;Ja;Nein;Feuerstätten ziehen Verbrennungsluft und beeinflussen die Lüftungsbilanz – wichtig bei gleichzeitiger Abluftanlage.;Lüftung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;200;Laie;;;
WZ_Verbrennungsluft;Verbrennungsluft-Zufuhr der Feuerstätte?;Raum;;;Wohnzimmer;;;Einzelauswahl;"eigene Außenluftleitung (raumluftunabhängig);aus dem Raum (raumluftabhängig);weiß nicht";;-;«WZ_Feuerstaette» ungleich nein;Nein;Nein;Raumluftabhängige Feuerstätten erfordern bei Abluftanlagen ggf. einen Differenzdruckwächter (DIBt).;Lüftung;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;400;Fachkundig;;;
BUE_Arbeitsplaetze;Anzahl Arbeitsplätze im Raum?;Raum;;;Büro/Aufenthalt;;;Zahl;;;-;immer;Nein;Nein;Interne Lasten und Lüftungsbedarf.;Nutzung & Betrieb;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
VK_Kuehlmoebel;Verkaufskühlmöbel im Raum vorhanden?;Raum;;;Verkauf;;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Nein;Nein;Relevant für die Kältelast.;Kälte;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
WK_Waeschetrocknung;Art der Wäschetrocknung?;Raum;;;Waschküche;;;Einzelauswahl;"Ablufttrockner;Kondens-/Wärmepumpentrockner;Wäscheleine/Ständer;weiß nicht";;-;immer;Nein;Nein;Beeinflusst die Feuchtelast des Raums.;Nutzung & Betrieb;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
R_ArchBodenbelag;Bodenbelag erfassen?;Raum;;;;;;Ja/Nein;"Ja;Nein";;-;immer;Nein;Nein;FM: legt einen Bodenbelag-Datensatz für den Raumboden an.;Struktur & Verknüpfung;40;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Laie;;;
R_ArchFussleiste;Fußleisten erfassen?;Raum;;;;;;Ja/Nein;"Ja;Nein";;-;immer;Nein;Nein;;Struktur & Verknüpfung;41;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;
R_ArchWandverkleidung;Anzahl Wandverkleidungen/Fliesenspiegel?;Raum;;;;;;Zahl;;0;-;immer;Nein;Nein;"0 = keine; je Verkleidung ein Datensatz, einer Wand zugeordnet.";Struktur & Verknüpfung;42;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;
R_ArchNische;Anzahl Nischen/Rücksprünge?;Raum;;;;;;Zahl;;0;-;immer;Nein;Nein;"0 = keine; je Nische ein Datensatz, einer Wand zugeordnet.";Struktur & Verknüpfung;43;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;
AB_Material;Bodenbelag – Material?;Raum;;;;Architektur;Bodenbelag;Einzelauswahl;"Parkett/Holz;Laminat;Fliesen;Naturstein;Teppich;PVC/Vinyl;Linoleum;Kork;Estrich (sichtbar);weiß nicht";;-;immer;Ja;Nein;;Architektur;10;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Laie;;;Sub-Objekt
